problem_type,distress_condition,requested_support,vulnerable_condition,complaint_summary,id
น้ำขึ้นชั้น 2,บ้านมีผู้ใหญ่ 3 คน คนพิการ 1 เด็ก 2 คน ไม่มีเสบียง น้ำกำลังขึ้นชั้น 2,อพยพ,คนพิการ เด็ก,ผู้ร้องขออพยพเนื่องจากน้ำขึ้นชั้น 2 บ้านมีผู้ใหญ่ 3 คน คนพิการ 1 เด็ก 2 คน ไม่มีเสบียง,message_01353
น้ำเข้าห้อง,น้ำเข้าห้องนอน ตัดน้ำตัดไฟ 3 วัน ไม่มีหน่วยงานช่วยเหลือ,อาหาร ยา ของใช้,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำเข้าห้องนอน ตัดน้ำตัดไฟ 3 วัน และขาดอาหาร ยา ของใช้,message_01354
ไม่ได้ระบุ,ผู้สูงอายุ 80 ปี มีโรคประจำตัว อยู่คนเดียวบนชั้น 2 มีอาหารและน้ำดื่มหมด ต้องการยาและของใช้,ไม่ได้ระบุ,ผู้สูงอายุ,ผู้สูงอายุ 80 ปี มีโรคประจำตัว อยู่คนเดียวบนชั้น 2 มีอาหารและน้ำดื่มหมด ต้องการยาและของใช้,message_01356
ไม่ได้ระบุ,ติดอยู่ที่บ้าน 3 วัน แบตสำรองจะหมด ต้องการอาหาร น้ำดื่ม ยา ของใช้,อาหาร น้ำดื่ม ยา ของใช้,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากติดอยู่ที่บ้าน 3 วัน แบตสำรองจะหมด ต้องการอาหาร น้ำดื่ม ยา และของใช้,message_01358
น้ำขึ้น 3 เมตร,น้ำขึ้น 3 เมตร ไม่มีอาหาร ไม่มีน้ำ,อาหาร ยา ของใช้,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำขึ้น 3 เมตร ไม่มีอาหารและน้ำในพื้นที่หลายบ้าน,message_01360
ไม่ได้ระบุ,มีคนอยู่ในบ้าน 4 คน มีคนแก่ติดเตียง 1 คน มือถือติดต่อไม่ได้ตั้งแต่วันที่ 23,ไม่ได้ระบุ,คนแก่,ผู้ร้องขอความช่วยเหลือเนื่องจากมีคนอยู่ในบ้าน 4 คน มีคนแก่ติดเตียง 1 คน มือถือติดต่อไม่ได้ตั้งแต่วันที่ 23,message_01359
ไม่ได้ระบุ,หมู่บ้านเดือดร้อนอย่างหนัก ขาดอาหาร ยา ของใช้ มีน้ำไหลเร็วและยากต่อการเข้าถึง,เข้าช่วยเหลือ,ไม่ได้ระบุ,ชาวบ้านในหมู่บ้านที่เข้าถึงยากเดือดร้อนอย่างหนักขาดอาหาร ยา ของใช้ มีน้ำไหลเร็วและยากต่อการเข้าถึง ต้องการการเข้าช่วยเหลือโดยหน่วยงาน,message_01363
ไม่ได้ระบุ,เด็กเล็ก 1 ขวบ ผู้สูงอายุ 2 คน มีโรคหัวใจ ไม่สามารถติดต่อใครได้,อาหาร ยา ของใช้,เด็กเล็ก ผู้สูงอายุ,ผู้ร้องขอความช่วยเหลือเนื่องจากเด็กเล็ก 1 ขวบและผู้สูงอายุ 2 คนมีโรคหัวใจ ไม่สามารถติดต่อใครได้,message_01361
ไม่ได้ระบุ,คุณแม่ติดต่อไม่ได้มา 2 วัน,อาหาร ยา ของใช้,คุณแม่,ผู้ร้องขอความช่วยเหลือเนื่องจากคุณแม่ติดต่อไม่ได้มา 2 วันและขาดอาหาร ยา ของใช้,message_01365
ไม่ได้ระบุ,คนพิการไม่สามารถช่วยเหลือตัวเองได้ ผู้สูงอายุและผู้หญิงได้รับบาดเจ็บเป็นแผลที่ขาลึกจากการล้ม ไม่มีน้ำและอาหาร,อาหาร ยา ของใช้,คนพิการ ผู้สูงอายุ ผู้หญิง,ปัญหาประเภทไม่ได้ระบุ ผู้ร้องขอความช่วยเหลือเนื่องจากมีคนพิการไม่สามารถช่วยเหลือตัวเองได้ ผู้สูงอายุและผู้หญิงได้รับบาดเจ็บ มีขาดน้ำและอาหาร ต้องการอาหาร ยา และของใช้,message_01364
น้ำขึ้นสูง,ชั้นบนไม่มีทางออก กลัวน้ำขึ้นสูงออกไม่ได้ มีขาดอาหาร ยา ของใช้,อาหาร ยา ของใช้,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำขึ้นสูงและชั้นบนไม่มีทางออก มีขาดอาหาร ยา ของใช้,message_01366
ไม่มีไฟฟ้า,ไม่มีไฟฟ้า ประปา แบตหมด ไม่มีสัญญาณ ติดต่อไม่ได้ ขาดอาหาร ยา ของใช้,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากไม่มีไฟฟ้า ประปา แบตหมด ไม่มีสัญญาณ ติดต่อไม่ได้ ขาดอาหาร ยา ของใช้,message_01370
ไม่ได้ระบุ,ไม่มีสัญญาณโทรศัพท์ แบตหมด อาหาร ยา ของใช้,ไม่ได้ระบุ,พ่อแม่,ผู้ร้องขอความช่วยเหลือเนื่องจากพ่อแม่ไม่มีสัญญาณโทรศัพท์ แบตหมด และขาดอาหาร ยา ของใช้,message_01371
ไม่ได้ระบุ,ติดต่อไม่ได้ ต้องการอาหาร ยา ของใช้,Powerbank,ไม่ได้ระบุ,ผู้ร้องขอ Powerbank เนื่องจากไม่ได้ระบุปัญหาและติดต่อไม่ได้ ต้องการอาหาร ยา ของใช้,message_01367
อาหารขาด,อาหารเหลือแค่ผลไม้ไม่กี่ลูก ไม่มีข้าวหรืออาหารอื่น น้ำดื่มพอ 1–2 วัน,ไม่ได้ระบุ,ผู้สูงอายุ,ผู้สูงอายุ 2 คนในบ้านขาดอาหาร เหลือแค่ผลไม้ไม่กี่ลูก ไม่มีข้าวหรืออาหารอื่น น้ำดื่มพอ 1–2 วัน,message_01376
น้ำขึ้นสูง,น้ำขึ้นสูงมาก ปิดชั้น1 ไม่สามารถออกไปข้างนอกได้ ขาดแคลนน้ำและอาหาร รวมยาและของใช้,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำขึ้นสูงมาก ปิดชั้น1 ไม่สามารถออกไปข้างนอกได้ ขาดแคลนน้ำและอาหาร รวมยาและของใช้,message_01377
ไม่ได้ระบุ,ติดอยู่นานในบ้าน มีคนแก่ 2 คน เด็ก 2 คน ผญ2 คน ขาดอาหาร ยา ของใช้,ไม่ได้ระบุ,คนแก่ เด็ก ผญ,ผู้ร้องขอความช่วยเหลือเนื่องจากติดอยู่นานในบ้าน มีคนแก่ 2 คน เด็ก 2 คน ผญ2 คน ขาดอาหาร ยา ของใช้,message_01369
สัญญาณขาด,สัญญาณภายในบ้านอับ ต้องออกมานอกระเบียงเพื่อรับสัญญาณ 4 คน ผู้สูงอายุทุกคน ขาดน้ำและอาหาร,"น้ำ, อาหาร, ยา, ของใช้",ผู้สูงอายุ,ผู้ร้องขอความช่วยเหลือเนื่องจากสัญญาณภายในบ้านอับ ต้องออกมานอกระเบียงเพื่อรับสัญญาณ 4 คน ผู้สูงอายุทุกคน ขาดน้ำและอาหาร,message_01381
น้ำท่วมมิดชั้น 1,น้ำท่วมมิดชั้น 1 หน้าต่างติดเหล็กดัด ผู้ประสบภัยไม่มีแบตโทรศัพท์ ขาดอาหาร ยา ของใช้,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้ประสบภัยรายนี้ประสบน้ำท่วมมิดชั้น 1 หน้าต่างติดเหล็กดัด ไม่มีแบตโทรศัพท์ ขาดอาหาร ยา ของใช้ ทำให้ไม่สามารถอพยพออกจากบ้านได้,message_01372
ไม่ได้ระบุ,บ้านเรือนหลายหลังในระแวกไม่มีอาหารและน้ำดื่ม,อาหาร น้ำดื่ม ยา ของใช้,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือด้านอาหารและน้ำดื่ม เนื่องจากบ้านเรือนหลายหลังในระแวกไม่มีอาหารและน้ำดื่ม,message_01382
ไม่ได้ระบุ,ไม่สามารถติดต่อคนในพื้นที่ได้,อาหาร ยา ของใช้,ไม่ได้ระบุ,ผู้แจ้งเป็นญาติที่อยู่นอกพื้นที่ไม่สามารถติดต่อคนในพื้นที่ได้,message_01374
น้ำสูงขึ้น,น้ำสูงขึ้น บ้านตัดไฟ โทรศัพท์แบตหมด ชั้น 1 ท่วม ต้องการไฟฉาย ข้าว น้ำ อาหารแมว ยา ของใช้,"ไฟฉาย, ข้าว, น้ำ, อาหารแมว, ยา, ของใช้",ไม่ได้ระบุ,ผู้แจ้งรายนี้ประสบปัญหาน้ำสูงขึ้น บ้านตัดไฟ โทรศัพท์แบตหมด ชั้น 1 ท่วม ต้องการไฟฉาย ข้าว น้ำ อาหารแมว ยา ของใช้,message_01384
ไม่ได้ระบุ,บ้านมี 20 คนรวมผู้สูงอายุและเด็ก สัตว์เลี้ยง ต้องการอาหาร ยา ของใช้ และอพยพจากชั้นสอง,"อพยพ, อาหาร, ยา, ของใช้","ผู้สูงอายุ, เด็ก",ผู้ร้องขอความช่วยเหลือเนื่องจากปัญหาไม่ได้ระบุ บ้านมี 20 คนรวมผู้สูงอายุและเด็ก สัตว์เลี้ยง ต้องการอาหาร ยา ของใช้ และอพยพจากชั้นสอง,message_01383
ไม่ได้ระบุ,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้สูงอายุ,ผู้ร้องขอความช่วยเหลือเกี่ยวกับผู้สูงอายุและแมว พร้อมอาหาร ยา ของใช้,message_01386
ไม่ได้ระบุ,ไม่สามารถออกไปไหนได้ ต้องการอาหาร น้ำดื่ม ยา ของใช้,อาหาร น้ำดื่ม ยา ของใช้,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากไม่สามารถออกไปไหนได้ และต้องการอาหาร น้ำดื่ม ยา ของใช้,message_01385
ไม่ได้ระบุ,สองคนต้องการอาหาร ยา ของใช้,อาหาร ยา ของใช้,ผู้สูงอายุ,ผู้ร้องขอความช่วยเหลือสำหรับตายายสองคนที่ต้องการอาหาร ยา ของใช้ โดยปัญหายังไม่ได้ระบุ,message_01387
ไม่ได้ระบุ,ไม่สามารถติดต่อพี่สาวตั้งแต่เที่ยงของเมื่อวาน ต้องการอาหาร ยา ของใช้,อาหาร ยา ของใช้,เด็กเล็ก,ผู้ร้องขอความช่วยเหลือเนื่องจากปัญหาที่ไม่ได้ระบุและไม่สามารถติดต่อพี่สาวตั้งแต่เที่ยงของเมื่อวาน ต้องการอาหาร ยา ของใช้,message_01388
ไม่ได้ระบุ,คนติดอยู่ในบ้าน 2 คน สุนัข5ตัวลิง1ตัว มีอาหาร ยา ของใช้,ไม่ได้ระบุ,ไม่ได้ระบุ,ปัญหาที่ไม่ได้ระบุ ผู้ร้องขอความช่วยเหลือเนื่องจากมีคนติดอยู่ในบ้าน 2 คน พร้อมสุนัข 5 ตัวและลิง 1 ตัว มีอาหาร ยา และของใช้,message_01391
น้ำท่วม,น้ำท่วมถึงชั้นสอง ไม่ได้ทานมา 2 วัน มีเด็กและคนสูงวัย รวมโรคประจำตัว 80 คน,"น้ำ, อาหาร, ยา, ของใช้",เด็ก คนสูงวัย โรคประจำตัว,"ผู้ขอความช่วยเหลือรายนี้ประสบปัญหาน้ำท่วมถึงชั้นสอง มีนักท่องเที่ยวชาวมาเลเซียประมาณ 80 คน รวมเด็กและคนสูงวัย มีโรคประจำตัว ไม่ได้ทานมา 2 วัน จึงต้องการน้ำ, อาหาร, ยา, ของใช้ และการส่งผ่านทางทุบกระจกทางฝั่งซ้าย",message_01389
น้ำท่วม,หนีน้ำท่วมบนที่สูง มีผู้สูงอายุ ผู้หญิง สัตว์เลี้ยง แมว ต้องการน้ำอาหารยา,น้ำอาหารยา,ผู้สูงอายุ ผู้หญิง,ผู้ร้องขอความช่วยเหลือเนื่องจากหนีน้ำท่วมบนที่สูงที่จิตตะวันแมนชั่น มีผู้สูงอายุ ผู้หญิง และสัตว์เลี้ยง แมว ต้องการน้ำอาหารยา,message_01390
น้ำไหลหลงทาง,น้ำไหลหลงทางซอย มีคนจำนวนไม่ทราบ ขาดอาหาร ยา ของใช้,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำไหลหลงทางซอยในอพาร์ตเมนต์ มีคนจำนวนไม่ทราบ ขาดอาหาร ยา และของใช้,message_01394
ไม่ได้ระบุ,พ่อแม่ไม่กินข้าว 2 วัน ขาดอาหาร ยา ของใช้ และขาดการติดต่อ,อาหาร ยา ของใช้,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากพ่อแม่ไม่กินข้าว 2 วัน ขาดอาหาร ยา ของใช้ และขาดการติดต่อ,message_01393
น้ำขึ้นสูง,ติดต่อพ่อแม่ไม่ได้ 3 วัน บ้านพื้นต่ำ 2 ชั้น กังวลน้ำจะขึ้นสูงไม่อยู่ได้ อาหารและน้ำไม่เพียงพอ,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำขึ้นสูงและบ้านพื้นต่ำ 2 ชั้น กังวลไม่อยู่ได้ ติดต่อลูกพ่อแม่ไม่ได้ 3 วัน อาหารและน้ำไม่เพียงพอ,message_01399
ไม่ได้ระบุ,พื้นที่มีผู้สูงอายุและคนป่วยเยอะมาก ขาดอาหาร ยา ของใช้,อาหาร ยา ของใช้,ผู้สูงอายุ คนป่วย,ผู้ร้องขอความช่วยเหลือด่วนเนื่องจากพื้นที่มีผู้สูงอายุและคนป่วยเยอะมาก ขาดอาหาร ยา ของใช้,message_01402
ไม่ได้ระบุ,ผู้ติดอยู่ 15 คน ไม่สามารถติดต่อสื่อสารได้ อาหารเริ่มหมด ผู้ป่วยไม่สามารถช่วยเหลือตัวเอง,อาหาร น้ำ ยา ของใช้ อพยพ,ผู้ป่วย,ผู้ร้องขอความช่วยเหลือเนื่องจากจำนวนผู้ติดอยู่ 15 คน ไม่สามารถติดต่อสื่อสารได้ อาหารเริ่มหมด ผู้ป่วยไม่สามารถช่วยเหลือตัวเอง ต้องการอาหาร น้ำ ยา ของใช้ และอพยพ,message_01398
ไม่ได้ระบุ,ไม่ได้ระบุ,อาหาร ยา ของใช้,ไม่ได้ระบุ,ผู้ร้องขอรับอาหาร ยา ของใช้ในวันที่ 25 พ.ย. 2568,message_01403
น้ำขึ้นชั้น 2,น้ำเชี่ยวแรงหน้าบ้านกำลังจะขึ้นชั้นสอง ต้องการอาหาร ยา ของใช้,อาหาร ยา ของใช้,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำเชี่ยวแรงหน้าบ้านกำลังจะขึ้นชั้นสอง ต้องการอาหาร ยา ของใช้,message_01405
น้ำขึ้นชั้น 2,น้ำกำลังถึงชั้น 2 ขาดอาหาร ยา ของใช้,ไม่ได้ระบุ,ผู้สูงอายุ ผู้ใหญ่,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำกำลังถึงชั้น 2 และขาดอาหาร ยา ของใช้,message_01400
ขาดอาหารและน้ำ,อาหารและน้ำดื่มเหลือนิดเดียว บ้านมี 2 คน ผู้สูงอายุผู้ชาย 1 คน วัยกลางคนผู้หญิง 1 คน บาดเจ็บที่เท้าของแม่หนู,อาหาร น้ำ ยา ของใช้,ผู้สูงอายุ ผู้หญิงวัยกลางคน,ผู้ร้องขอความช่วยเหลือเนื่องจากขาดอาหารและน้ำในบ้านมี 2 คน ผู้สูงอายุผู้ชาย 1 คน วัยกลางคนผู้หญิง 1 คน บาดเจ็บที่เท้าของแม่หนู,message_01407
ขาดอาหาร,โรงแรมหลายสิบคนขาดอาหาร น้ำดื่ม และยาเริ่มหมด,ไม่ได้ระบุ,ไม่ได้ระบุ,โรงแรมหลายสิบคนประสบปัญหาขาดอาหาร น้ำดื่ม และยาเริ่มหมด,message_01406
ไฟดับ,น้ำดื่มและอาหารไม่เพียงพอ หลังไฟดับ 3 วัน มีผู้เช่าเยอะ ไม่สามารถติดต่อได้,พาวเวอร์แบงค์ น้ำดื่ม อาหาร ยา ของใช้,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากไฟดับ 3 วัน ทำให้น้ำดื่มและอาหารไม่เพียงพอ และไม่สามารถติดต่อได้,message_01404
น้ำท่วม,น้ำท่วมเต็มพื้นที่ชั้น 1 ข้าวของไม่ขึ้นทัน อาหารเหลือน้อย แบตเตอรี่โทรศัพท์หมด,อาหาร ยา ของใช้,คนแก่ เด็ก,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมเต็มพื้นที่ชั้น 1 มีคนแก่ 2 คนและเด็ก 1 คน ข้าวของไม่ขึ้นทัน อาหารเหลือน้อย และแบตเตอรี่โทรศัพท์หมด,message_01408
ไฟฟ้าดับ,แบตโทรศัพท์หมด ผู้ป่วยอยู่ด้านใน,อาหาร ยา ของใช้,ผู้ป่วย,ผู้แจ้งรายนี้ประสบเหตุไฟฟ้าดับ มีผู้ป่วยอยู่ด้านในและแบตโทรศัพท์หมด ต้องการอาหาร ยา ของใช้,message_01409
ไม่ได้ระบุ,ไม่ได้ระบุ,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้ร้องขอข้อมูลเกี่ยวกับอาหาร ยา ของใช้สำหรับบ้านที่มีแมว,message_01415
ไม่ได้ระบุ,คนติดอยู่บนสะพานข้ามแยกคลองหวะ จำนวนมาก,อาหาร น้ำ ยา ของใช้,ไม่ได้ระบุ,ผู้ร้องขออาหาร น้ำ ยา และของใช้ เนื่องจากมีคนติดอยู่บนสะพานข้ามแยกคลองหวะจำนวนมาก,message_01412
ไม่ได้ระบุ,ติดต่อคนในพื้นที่ไม่ได้ ขาดแคลนน้ำดื่ม อาหาร ยา ของใช้,ไม่ได้ระบุ,คนแก่ ผู้ป่วย เด็กเล็ก น้องออทิสติก,ผู้ร้องขอความช่วยเหลือเนื่องจากติดต่อคนในพื้นที่ไม่ได้และขาดแคลนน้ำดื่ม อาหาร ยา ของใช้ โดยมีคนแก่ ผู้ป่วย เด็กเล็ก และน้องออทิสติก,message_01413
ไม่ได้ระบุ,ขาดอาหารและน้ำมากๆ,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากปัญหาที่ไม่ได้ระบุและขาดอาหารและน้ำมากๆ,message_01411
ไม่ได้ระบุ,ไม่สามารถติดต่อได้ 2 วัน ขาดอาหาร ยา ของใช้,อาหาร ยา ของใช้,เด็ก 4 ขวบ 1 คน 6 ขวบ 1 คน ผู้สูงอายุ 1 คน,ผู้ร้องขอความช่วยเหลือเนื่องจากไม่สามารถติดต่อได้ 2 วัน และขาดอาหาร ยา ของใช้ โดยมีเด็ก 4 ขวบ 1 คน 6 ขวบ 1 คน ผู้สูงอายุ 1 คน,message_01417
ไม่ได้ระบุ,มีญาติอยู่ในบ้านประมาณ 5–6 คน เจ้าบ้านต้องการอยู่ต่อเพื่อเฝ้าบ้าน ต้องการอาหาร 3–4 วัน ต้องการอพยบญาติออกไปศูนย์ และต้องการ Power bank,อาหาร ยา ของใช้ อพยบญาติออกไปศูนย์ Power bank,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากไม่มีการระบุประเภทปัญหา มีญาติอยู่ในบ้านประมาณ 5–6 คน เจ้าบ้านต้องการอยู่ต่อเพื่อเฝ้าบ้าน ต้องการอาหาร 3–4 วัน ต้องการอพยบญาติออกไปศูนย์ และต้องการ Power bank,message_01418
ไม่ได้ระบุ,มีคนแก่ 12 คน เด็กเล็ก 4 ขวบ 1 คน แมว 14 ตัว ต้องการอาหาร ยา ของใช้,ไม่ได้ระบุ,คนแก่ เด็กเล็ก,ผู้ร้องขอความช่วยเหลือด้านอาหาร ยา ของใช้สำหรับคนแก่ 12 คน เด็กเล็ก 4 ขวบ 1 คน และแมว 14 ตัว,message_01420
ไฟดับ,สัญญาณไม่ค่อยมี อาหาร ยา ของใช้,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากไฟดับและสัญญาณไม่ค่อยมี พร้อมกับขาดอาหาร ยา ของใช้,message_01419
ไม่ได้ระบุ,ขาดอาหาร ยา ของใช้,ไม่ได้ระบุ,ผู้สูงอายุ,ผู้ร้องขอความช่วยเหลือเกี่ยวกับการขาดอาหาร ยา และของใช้สำหรับผู้สูงอายุ โดยไม่ได้ระบุประเภทปัญหา,message_01425
อาหารขาด,ผู้สูงอายุ 2 คน ไม่สามารถหาอาหาร ไม่สามารถติดต่อภายนอกได้ ไม่มีสัญญาณ,อาหาร ยา ของใช้,ผู้สูงอายุ,ผู้ร้องขอความช่วยเหลือเนื่องจากอาหารขาด ผู้สูงอายุ 2 คนไม่สามารถหาอาหารและติดต่อภายนอกได้ เนื่องจากไม่มีสัญญาณ,message_01423
ไม่ได้ระบุ,ขาดยาแก้ลมพิษ อาหาร และของใช้,ยาแก้ลมพิษ อาหาร ของใช้,ไม่ได้ระบุ,ผู้ร้องขอยาแก้ลมพิษ อาหาร และของใช้ เนื่องจากขาดยาแก้ลมพิษ อาหาร และของใช้ (problem_type: ไม่ได้ระบุ),message_01422
หลังคารั่ว,หลังคาชั้น 3 รั่ว ชั้น 1 จมมิด อาหาร ยา ของใช้ขาด,ไม่ได้ระบุ,ผู้ใหญ่ ผู้สูงอายุ,ผู้ร้องขอความช่วยเหลือเนื่องจากหลังคาชั้น 3 รั่ว ชั้น 1 จมมิด และขาดอาหาร ยา ของใช้,message_01426
อาหารขาด,ขาดอาหารมา 3 วัน,อาหาร ยา ของใช้,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากขาดอาหารมา 3 วัน,message_01427
น้ำขึ้น,น้ำขึ้นเรื่อย ๆ อยู่ชั้น 2 ต้องการอาหาร น้ำดื่ม ผู้ชราเดินไม่ไหว,อพยพ,ผู้ชรา,ผู้ร้องขออพยพเนื่องจากน้ำขึ้นเรื่อย ๆ อยู่ชั้น 2 มีผู้ชราเดินไม่ไหวและผู้ใหญ่ 1 คน ต้องการอาหารและน้ำดื่ม,message_01433
ไม่ได้ระบุ,ชายสูงวัย 73 ปี ที่บ้านเลขที่ 49 ถนนสันติราษฎร์ ซอย 1 ต้องการอาหาร น้ำดื่ม ยารักษาโรคหัวใจ และอพยพออกจากพื้นที่,อาหาร น้ำดื่ม ยารักษาโรคหัวใจ ของใช้ อพยพ,ผู้สูงอายุ,ผู้ร้องขอความช่วยเหลือจากชายสูงวัย 73 ปี ที่บ้านเลขที่ 49 ถนนสันติราษฎร์ ซอย 1 เนื่องจากไม่ได้ระบุปัญหาเฉพาะ แต่มีความต้องการอาหาร น้ำดื่ม ยารักษาโรคหัวใจ และอพยพออกจากพื้นที่,message_01434
ไม่ได้ระบุ,ไม่ได้ระบุ,อาหาร ยา ของใช้,ไม่ได้ระบุ,ผู้แจ้งเป็นหลานอยู่ภูเก็ตขอความช่วยเหลือที่บ้านโดยมีความต้องการอาหาร ยา และของใช้,message_01437
ไม่ได้ระบุ,บ้านไม่มีคนเข้าไปให้ความช่วยเหลือ,อาหาร ยา ของใช้,บุตร,ผู้ร้องขอความช่วยเหลือเนื่องจากบ้านไม่มีคนเข้าไปช่วยเหลือ,message_01428
น้ำท่วมสูง,บ้านพักอาศัยถูกน้ำท่วมสูง ไม่สามารถเดินทางออกได้ สถานการณ์รุนแรงขึ้น,อาหาร ยา ของใช้,ผู้สูงอายุ,ผู้ร้องขอความช่วยเหลือเนื่องจากบ้านพักอาศัยถูกน้ำท่วมสูง ผู้สูงอายุ 1 รายและลูกสาว 1 รายไม่สามารถเดินทางออกได้,message_01436
ไม่ได้ระบุ,น้ำลดแล้ว ต้องการน้ำดื่มและอาหาร แบตมือถือใกล้จะหมด อาหาร ยา ของใช้,อาหาร น้ำ,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำลดแล้ว ต้องการน้ำดื่มและอาหาร พร้อมกับแบตมือถือใกล้หมด อาหาร ยา ของใช้,message_01439
น้ำท่วม,น้ำท่วมตั้งแต่วันศุกร์ เก็บของขึ้นที่สูง ไม่สามารถติดต่อได้ ไม่มั่นใจว่าอาหาร น้ำดื่ม ยา ของใช้ยังพอ,ไม่ได้ระบุ,ผู้สูงอายุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมตั้งแต่วันศุกร์ เก็บของขึ้นที่สูง ไม่สามารถติดต่อได้ ไม่มั่นใจว่าอาหาร น้ำดื่ม ยา ของใช้ยังพอ,message_01440
น้ำขึ้นสูง,ไม่มีอาหาร ไม่สามารถออกจากบ้านได้ เนื่องจากกลัวน้ำขึ้นสูง,อาหาร ยา ของใช้,แมว สุนัข,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำขึ้นสูงทำให้ไม่มีอาหารและไม่สามารถออกจากบ้านได้ พร้อมทั้งมีแมว 12 ตัวและสุนัข 2 ตัวกลัวน้ำ,message_01435
ไฟดับ,ไฟดับ 2 วัน ไม่สามารถติดต่อได้,อพยพ น้ำ อาหาร ของใช้ ยา,ผู้สูงอายุ,ผู้ร้องขอความช่วยเหลือเนื่องจากไฟดับ 2 วัน ไม่สามารถติดต่อได้ มีผู้สูงอายุ 2 คนและลูกสาวพักในบ้าน ต้องการอพยพ น้ำ อาหาร ของใช้ และยา,message_01444
อาหารขาด,ขาดอาหารมา 2 วัน มีผู้สูงอายุ 2 คน ขาดยาและของใช้,ไม่ได้ระบุ,ผู้สูงอายุ,ผู้ร้องขอความช่วยเหลือเนื่องจากอาหารขาดมา 2 วัน มีผู้สูงอายุ 2 คน ขาดยาและของใช้,message_01442
ไม่ได้ระบุ,ไม่ได้ระบุ,ไม่ได้ระบุ,คนท้อง 7 เดือน,มีคนท้อง 7 เดือนอยู่ด้วย,message_01441
ไม่ได้ระบุ,บ้านขาดอาหาร ยา ของใช้,อพยพ,ไม่ได้ระบุ,ผู้ร้องขออพยพเนื่องจากบ้านขาดอาหาร ยา ของใช้,message_01446
ไม่ได้ระบุ,ไม่ได้ระบุ,อาหาร ยา ของใช้,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือด้านอาหาร ยา และของใช้,message_01451
น้ำขึ้นชั้น 2,น้ำเพิ่มสูงขึ้นเกือบถึงชั้น 2 บ้าน 2 ชั้น 2 หลัง 1 ชั้น 1 หลังระดับน้ำเพิ่มขึ้นเข้าขั้นอันตราย มีคน 10 คน แมว 6 ตัว,อาหาร น้ำ อาหารสัตว์ ยา ของใช้,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำเพิ่มสูงขึ้นเกือบถึงชั้น 2 บ้าน 2 ชั้น 2 หลัง 1 ชั้น 1 หลังระดับน้ำเพิ่มขึ้นเข้าขั้นอันตราย มีคน 10 คน แมว 6 ตัว ต้องการอาหาร น้ำ อาหารสัตว์ ยา ของใช้,message_01450
ไม่ได้ระบุ,ขาดอาหาร ยา ของใช้ และยังไม่มีหน่วยงานเข้าช่วยเหลือ,อาหาร ยา ของใช้,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเร่งด่วนเนื่องจากขาดอาหาร ยา ของใช้ และยังไม่มีหน่วยงานเข้าช่วยเหลือ,message_01447
น้ำท่วม,น้ำท่วมล้อมรอบ ไม่สามารถออกไปไหนได้ มี 120 คน รวมผู้ชราและเด็กเล็กหลายคน ต้องการอาหาร ยา ของใช้,อาหาร ยา ของใช้,ผู้ชรา เด็กเล็ก,ผู้ร้องขอความช่วยเหลือที่ศูนย์พักพิงเนื่องจากน้ำท่วมล้อมรอบ ไม่สามารถออกไปไหนได้ มี 120 คนรวมผู้ชราและเด็กเล็กหลายคน ต้องการอาหาร ยา ของใช้,message_01453
